Country,GDI Value,GDI Group,Female HDI,Male HDI,Female life expectancy at birth,Male life expectancy at birth,Female mean years of schooling,Male mean years of schooling,HDI Rank
Norway,0.989938658,1,0.948956352,0.958601166,84.377,80.447,12.977,12.81661,1
Switzerland,0.967512818,2,0.933877434,0.965235206,85.596,81.874,12.6696,13.5584,2
Ireland,0.981024298,1,0.943042788,0.961283824,83.909,80.667,12.89739912,12.42200863,2
Iceland,0.968674037,2,0.933167507,0.963345224,84.485,81.502,12.56192757,12.9836233,4
Germany,0.971880477,2,0.93271635,0.959702732,83.728,78.944,13.88232,14.43136,6
Sweden,0.982644255,1,0.936427405,0.952966854,84.56,81.029,12.69396,12.39988,7
Netherlands,0.965586666,2,0.926480685,0.959500288,83.952,80.592,12.16944,12.66969,8
Australia,0.976203561,1,0.931810956,0.954525259,85.403,81.492,12.79604116,12.65123522,8
Denmark,0.982565602,1,0.931009159,0.947528752,82.865,78.946,12.83248399,12.39449532,10
Finland,0.989919098,1,0.932488849,0.941984907,84.718,79.091,12.99106,12.64766,11
Singapore,0.985237258,1,0.930803531,0.944750642,85.728,81.526,11.17682,12.1125,11
United Kingdom,0.969923826,2,0.91595218,0.944354759,82.999,79.613,13.24347,13.24225,13
Belgium,0.973807806,2,0.917940512,0.942630061,83.882,79.32,11.93601,12.17293,14
New Zealand,0.964286408,2,0.911854592,0.945626304,83.981,80.571,12.71496574,12.85611319,14
Canada,0.985592903,1,0.921552505,0.935023479,84.391,80.447,13.41614,13.31281,16
United States,0.993544802,1,0.921714952,0.927703462,81.405,76.341,13.46054,13.36257,17
Austria,0.963932404,2,0.902727454,0.936504935,83.866,79.169,12.23973506,12.87223858,18
Japan,0.97756547,1,0.905755969,0.926542514,87.669,81.497,13.062,12.638,19
Israel,0.973318359,2,0.904138952,0.928924173,84.505,81.331,13.05982,13.02647,19
Slovenia,1.001408521,1,0.915649972,0.914362074,84.04,78.575,12.64336,12.67688,22
South Korea,0.936113144,3,0.880521856,0.940614777,85.954,79.935,11.4283,12.87406,23
Luxembourg,0.975942135,1,0.900737613,0.922941618,84.346,80.157,11.99978,12.63556,23
Spain,0.985865274,1,0.896326716,0.909177693,86.248,80.826,10.16173,10.34807,25
France,0.987152994,1,0.894989545,0.906637117,85.486,79.716,11.26852,11.71352,26
Czechia,0.985431666,1,0.892529484,0.90572438,81.944,76.76,12.54734683,12.90645352,27
Malta,0.965690319,2,0.877396529,0.90856925,84.263,80.699,11.05503,11.59871,28
Italy,0.967767105,2,0.875345833,0.904500503,85.539,81.325,10.17920413,10.59922043,29
Estonia,1.016865659,1,0.896396006,0.881528448,82.711,74.358,13.57210536,12.68028577,29
United Arab Emirates,0.930625873,3,0.842403477,0.905201007,79.314,77.291,11.6769,12.42786,31
Greece,0.963041818,2,0.868804775,0.902146469,84.672,79.803,10.2908,10.7884,32
Cyprus,0.979050305,1,0.876422074,0.895175732,83.032,78.921,12.07645,12.26718,33
Lithuania,1.029915631,2,0.894191416,0.868218123,81.371,70.294,13.10024,13.048,34
Poland,1.00711023,1,0.880114264,0.87390063,82.587,74.814,12.49645,12.44323,35
Latvia,1.035955001,2,0.879287873,0.848770335,80.012,70.233,13.44749688,12.55110471,37
Portugal,0.98831741,1,0.85828761,0.868433159,84.853,79.032,9.36642,9.14325,38
Slovakia,0.991814805,1,0.855028815,0.86208515,80.96,74.02,12.57560517,12.75176026,39
Hungary,0.980789458,1,0.844275114,0.860811775,80.289,73.244,11.74955,12.21046,40
Saudi Arabia,0.896089903,5,0.791461274,0.883238693,76.759,73.935,9.75244,10.522,40
Bahrain,0.921716932,4,0.805511836,0.873925396,78.423,76.436,9.08769,9.72027,42
Croatia,0.990018969,1,0.848481759,0.85703586,81.59,75.296,11.09893,12.17293,43
Chile,0.962758931,2,0.832527635,0.864731147,82.442,77.771,10.47589,10.7104,43
Qatar,1.029674804,2,0.865982285,0.841025032,82.01,79.142,11.28132,9.36681,45
Argentina,0.993451949,1,0.834896393,0.84039937,79.995,73.242,11.12250031,10.72909751,46
Brunei Darussalam,0.980706403,1,0.829894798,0.846221453,77.106,74.728,9.134,9.166,47
Montenegro,0.966192054,2,0.814201573,0.842691233,79.303,74.441,10.93444252,12.29348194,48
Romania,0.991381034,1,0.823700021,0.830861185,79.525,72.609,10.76149,11.40741,49
Kazakhstan,0.980266424,1,0.807064835,0.823311719,77.669,69.23,10.85906734,11.92241205,51
Russian Federation,1.006650897,1,0.822907143,0.817470233,77.785,67.148,11.9142,12.0751,52
Belarus,1.006608372,1,0.823928547,0.818519466,79.572,69.652,12.2265,12.3852,53
Turkey,0.923928622,4,0.783505402,0.848015078,80.563,74.724,7.27688,8.95451,54
Uruguay,1.016175058,1,0.814267144,0.801305974,81.478,74.119,9.19095,8.62677,55
Bulgaria,0.994685459,1,0.813003211,0.817347036,78.665,71.55,11.46954,11.23978,56
Panama,1.019027625,1,0.826085956,0.810661003,81.756,75.421,11.176,9.966,57
Barbados,1.008056713,1,0.815702722,0.809183364,80.482,77.814,10.9608034,10.335477,58
Oman,0.935625603,3,0.768296279,0.821157819,80.343,76.127,10.6469,9.3706,60
Georgia,0.97954439,1,0.800055945,0.816763337,78.14,69.349,13.16372,13.09626,61
Malaysia,0.971795891,2,0.797492387,0.820637744,78.317,74.234,10.27343,10.47029,62
Costa Rica,0.981297241,1,0.802445259,0.817739239,82.893,77.739,8.85332,8.61567,62
Serbia,0.977172278,1,0.796502223,0.815109312,78.617,73.407,10.79403,11.6315,64
Kuwait,0.983206953,1,0.7930801,0.806625805,76.58,74.76,7.9741,6.83248,64
Mauritius,0.975621068,1,0.790804952,0.810565677,78.458,71.652,9.42,9.67,66
