Country,GII Value,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Female population with secondary education,Male population with secondary education,Female labour force participation rate,Male labour force participation rate
"Switzerland",0.025,1,5,2.8,38.6,95.6,96.8,62.9,73.8
"Denmark",0.038,2,4,4.1,39.1,91.2,90.9,58.2,66.3
"Sweden",0.039,3,4,5.1,47.3,89.3,89.5,61.4,67.8
"Netherlands",0.043,4,5,3.8,33.8,87.6,90.3,58.3,69.1
"Belgium",0.043,4,5,4.7,43.3,84.7,88.4,48.6,58.7
"Norway",0.045,6,2,5.1,40.8,95.4,94.9,60.4,67.2
"Finland",0.047,7,3,5.8,47,100,100,55.5,62.8
"France",0.049,8,8,4.7,36.9,81.7,86.8,50.8,59.9
"Iceland",0.058,9,4,6.3,38.1,100,100,70.8,79.2
"Slovenia",0.063,10,7,3.8,22.3,97.2,98.3,53.4,63.4
"South Korea",0.064,11,11,1.4,16.7,80.4,95.5,52.9,73.1
"Singapore",0.065,12,8,3.5,23,78.1,85.1,62,78.3
"Luxembourg",0.065,12,5,4.7,25,100,100,54.9,63.7
"Austria",0.069,14,5,7.3,38.5,100,99.8,55.1,66.6
"Italy",0.069,14,2,5.2,35.3,75.9,83.4,40.8,59
"Spain",0.07,16,4,7.7,41.9,75.4,80.2,51.9,63.4
"Portugal",0.075,17,8,8.4,38.7,53.9,54.8,54.2,64.1
"United Arab Emirates",0.079,18,3,6.5,50,76,81,52.4,93.4
"Canada",0.08,19,10,8.4,33.2,100,100,60.8,69.4
"Germany",0.084,20,7,8.1,31.6,95.9,96.3,55.3,66.6
"Estonia",0.086,21,9,7.7,29.7,100,100,57.1,71
"Cyprus",0.086,21,6,4.6,17.9,79.9,83.8,57.8,68.3
"Ireland",0.093,23,5,7.5,24.3,81.9,79.9,56,68.4
"Japan",0.094,24,5,3.8,14.5,95.3,92.3,52.7,71.3
"Australia",0.097,25,6,11.7,36.6,91,90.9,60.3,70.9
"Israel",0.109,26,3,9.6,23.3,87.9,90.7,59.7,68.5
"Montenegro",0.109,26,6,9.3,28.4,88,98.2,46.5,62.8
"Poland",0.115,28,2,10.5,27.9,83.1,88.5,48.6,65.5
"Greece",0.116,29,3,7.2,20.7,62,73.2,44.2,59.8
"Croatia",0.116,29,8,8.7,20.5,94.6,97.4,45.4,57.5
"United Kingdom",0.118,31,7,13.4,28.9,78,79.3,57.6,68.1
"Belarus",0.118,31,2,14.5,34.9,87.2,92.5,57.7,71.8
"New Zealand",0.123,33,9,19.3,40.8,97.4,96.9,64.8,75.3
"Lithuania",0.124,34,8,10.9,21.3,94.3,97.4,56.5,67.7
"Serbia",0.132,35,12,14.7,37.7,86.3,93.6,47.4,62.8
"Czechia",0.136,36,3,12,20.6,100,99.9,52.9,68.5
"North Macedonia",0.143,37,7,15.7,39.2,41.8,57.7,43,67.3
"Bosnia and Herzegovina",0.149,38,10,9.6,21.1,74,89.3,35.4,58.1
"China",0.168,39,29,7.6,24.9,76,83.3,60.5,75.3
"Malta",0.175,40,6,12.9,14.9,78.7,85.6,46,67.1
"Latvia",0.176,41,19,16.2,30,100,100,55.7,68.4
"Albania",0.181,42,15,19.6,29.5,93.7,92.5,46.7,64.6
"Qatar",0.185,43,9,9.9,9.8,76.1,66.2,56.8,94.7
"Kazakhstan",0.19,44,10,29.8,22.1,99.3,99.6,62.7,75.5
