RANK,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.821,1.892,1.258,0.775,0.736,0.109,0.534
2,Denmark,7.636,1.953,1.243,0.777,0.719,0.188,0.532
3,Iceland,7.557,1.936,1.320,0.803,0.718,0.270,0.191
4,Switzerland,7.512,2.026,1.226,0.822,0.677,0.147,0.461
5,Netherlands,7.415,1.945,1.206,0.787,0.651,0.271,0.419
6,Luxembourg,7.404,2.209,1.155,0.790,0.700,0.120,0.388
7,Sweden,7.384,1.920,1.204,0.803,0.724,0.218,0.512
8,Norway,7.365,1.997,1.239,0.786,0.728,0.217,0.474
9,Israel,7.364,1.826,1.221,0.818,0.568,0.155,0.143
10,New Zealand,7.200,1.852,1.235,0.752,0.680,0.245,0.483
11,Austria,7.163,1.931,1.165,0.774,0.623,0.193,0.329
12,Australia,7.162,1.900,1.203,0.772,0.676,0.258,0.341
13,Ireland,7.041,2.129,1.166,0.779,0.627,0.190,0.408
14,Germany,7.034,1.924,1.088,0.776,0.585,0.163,0.358
15,Canada,7.025,1.886,1.188,0.783,0.659,0.217,0.368
16,United States,6.977,1.982,1.182,0.628,0.574,0.220,0.177
17,United Kingdom,6.943,1.867,1.143,0.750,0.597,0.289,0.329
18,Czechia,6.920,1.815,1.260,0.715,0.660,0.158,0.048
19,Belgium,6.805,1.907,1.106,0.764,0.492,0.049,0.204
20,France,6.687,1.863,1.219,0.808,0.567,0.070,0.266
21,Bahrain,6.647,1.854,1.029,0.625,0.693,0.199,0.155
22,Slovenia,6.630,1.810,1.249,0.769,0.685,0.118,0.115
23,Costa Rica,6.582,1.584,1.054,0.744,0.661,0.089,0.102
24,United Arab Emirates,6.576,1.998,0.980,0.633,0.702,0.204,0.250
25,Saudi Arabia,6.523,1.870,1.092,0.577,0.651,0.078,0.180
26,Taiwan Province of China,6.512,1.897,1.095,0.733,0.542,0.075,0.168
27,Singapore,6.480,2.149,1.127,0.851,0.672,0.163,0.587
28,Romania,6.477,1.719,1.006,0.655,0.605,0.039,0.006
29,Spain,6.476,1.808,1.211,0.808,0.505,0.101,0.149
30,Uruguay,6.474,1.615,1.180,0.672,0.665,0.103,0.265
31,Italy,6.467,1.834,1.052,0.801,0.412,0.085,0.059
32,Kosovo,6.455,1.362,0.949,0.569,0.599,0.309,0.035
33,Malta,6.447,1.838,1.169,0.789,0.679,0.174,0.166
34,Lithuania,6.446,1.804,1.204,0.659,0.496,0.053,0.077
35,Slovakia,6.391,1.736,1.232,0.707,0.479,0.118,0.025
36,Estonia,6.341,1.793,1.232,0.728,0.689,0.123,0.333
37,Panama,6.309,1.715,1.107,0.709,0.592,0.049,0.051
38,Brazil,6.293,1.462,1.044,0.615,0.546,0.131,0.134
39,Guatemala,6.262,1.274,0.831,0.522,0.662,0.112,0.115
40,Kazakhstan,6.234,1.668,1.220,0.611,0.584,0.134,0.157
41,Cyprus,6.221,1.815,0.909,0.819,0.448,0.123,0.062
42,Latvia,6.180,1.732,1.221,0.637,0.502,0.075,0.090
