Number,Name,Address,Latitude,Longitude
42,SMITHFIELD NORTH,Smithfield North,53.349562,-6.278198
30,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305
54,CLONMEL STREET,Clonmel Street,53.336021,-6.26298
108,AVONDALE ROAD,Avondale Road,53.359405,-6.276142
56,MOUNT STREET LOWER,Mount Street Lower,53.33796,-6.24153
6,CHRISTCHURCH PLACE,Christchurch Place,53.343368,-6.27012
18,GRANTHAM STREET,Grantham Street,53.334123,-6.265436
32,PEARSE STREET,Pearse Street,53.344304,-6.250427
52,YORK STREET EAST,York Street East,53.338755,-6.262003
48,EXCISE WALK,Excise Walk,53.347777,-6.244239
13,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336074,-6.252825
43,PORTOBELLO ROAD,Portobello Road,53.330091,-6.268044
81,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339983,-6.295594
31,PARNELL STREET,Parnell Street,53.350929,-6.265125
98,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853
23,CUSTOM HOUSE,Custom House,53.348279,-6.254662
106,RATHDOWN ROAD,Rathdown Road,53.35893,-6.280337
112,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),53.357841,-6.251557
68,HANOVER QUAY,Hanover Quay,53.344115,-6.237153
74,OLIVER BOND STREET,Oliver Bond Street,53.343893,-6.280531
87,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525
84,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217
90,BENSON STREET,Benson Street,53.344153,-6.233451
11,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371
17,GOLDEN LANE,Golden Lane,53.340803,-6.267732
45,DEVERELL PLACE,Deverell Place,53.351464,-6.255265
114,WILTON TERRACE (PARK),Wilton Terrace (Park),53.333653,-6.248345
72,JOHN STREET WEST,John Street West,53.343105,-6.277167
63,FENIAN STREET,Fenian Street,53.341428,-6.24672
113,MERRION SQUARE SOUTH,Merrion Square South,53.338614,-6.248606
91,SOUTH DOCK ROAD,South Dock Road,53.341833,-6.231291
99,CITY QUAY,City Quay,53.346637,-6.246154
9,EXCHEQUER STREET,Exchequer Street,53.343034,-6.263578
67,THE POINT,The Point,53.346867,-6.230852
116,BROADSTONE,Broadstone,53.3547,-6.272314
55,HATCH STREET,Hatch Street,53.33403,-6.260714
62,LIME STREET,Lime Street,53.346026,-6.243576
5,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177
97,KILMAINHAM GAOL,Kilmainham Gaol,53.342113,-6.310015
61,HARDWICKE PLACE,Hardwicke Place,53.357043,-6.263232
77,WOLFE TONE STREET,Wolfe Tone Street,53.348875,-6.267459
73,FRANCIS STREET,Francis Street,53.342081,-6.275233
4,GREEK STREET,Greek Street,53.346874,-6.272976
49,GUILD STREET,Guild Street,53.347932,-6.240928
19,HERBERT PLACE,Herbert Place,53.334432,-6.245575
7,HIGH STREET,High Street,53.343565,-6.275071
102,WESTERN WAY,Western Way,53.354929,-6.269425
38,TALBOT STREET,Talbot Street,53.350974,-6.25294
53,NEWMAN HOUSE,Newman House,53.337132,-6.26059
58,SIR PATRICK DUN'S,Sir Patrick's Dun,53.339218,-6.240642
66,NEW CENTRAL BANK,New Central Bank,53.347122,-6.234749
